id_posisi,posisi,deskripsi_posisi,jumlah_kuota,jumlah_terdaftar,status_posisi,nama_perusahaan,nama_provinsi,nama_kabupaten,alamat_perusahaan,logo,government_agency_name,sub_government_agency_name,tanggal_pendaftaran_awal,tanggal_pendaftaran_akhir,tanggal_mulai,tanggal_selesai,program_studi,jenjang,competition_ratio,days_to_deadline,skills_extracted,skills_score,is_data_related,freshness_score,quota_score,competition_score,priority_score,rank
a0481763-ead0-4c17-9f95-e1c91fbdae7c,Data Analytics & Visualization Support,"Pemahaman data lifecycle (collect–process–analyze–visualize–report).
Penguasaan alat analitik dan visualisasi data modern (Python, Tableau, Power BI, Canva, Looker Studio).
Keterampilan data storytelling dan penyajian insight berbasis data.
Kemampuan kolaborasi lintas fungsi dalam konteks data-driven decision making.",8,41,Terverifikasi,Perusahaan Perseroan (Persero) PT. Asuransi Kredit Indonesia,DKI JAKARTA,KOTA ADM. JAKARTA PUSAT,Graha Askrindo Jl. Angkasa Blok B-9 Kav. 8,https://wlkp-assets.kemnaker.go.id/companies/5671ca67-3d09-4a68-9d2e-ee1add977d03/61a98af7a7e16.jpg,,,2025-11-06 00:00:00,2025-11-14 23:59:59,2025-11-24 00:00:00,2026-05-23 23:59:59,"[{'id': '8bdce5f1-553c-40b4-a5f5-9e5ff9387b60', 'title': 'Sistem Informasi'}
 {'id': '1bc51bba-ad9a-41fc-9b1a-9647b87788a4', 'title': 'Sains Data'}
 {'id': '9dfcaa37-a44b-4331-87ab-bd32dc1066cb', 'title': 'Desain Komunikasi Visual'}
 {'id': 'a86f123a-2b95-4d24-b49d-174d3a639d91', 'title': 'Statistika'}
 {'id': 'eb32519f-3ca3-4918-accb-d8102338300c', 'title': 'Matematika'}]",['Sarjana'],5.125,,['insight' 'power bi' 'python' 'tableau'],1.0,True,0.0,0.2530958374291888,0.14618908788004997,0.4798569850618478,1
a0525870-d198-4067-9546-c41a6cf40a43,Ners,"Ners magang bertugas memberikan dukungan dalam pelayanan keperawatan di bawah supervisi langsung perawat pelaksana atau pembimbing klinik, meliputi pengkajian dasar pasien, pemantauan tanda vital, tindakan keperawatan sederhana dan lanjutan sesuai kewenangan yang dilimpahkan, serta pendokumentasian kegiatan keperawatan dengan validasi pembimbing. Ners magang juga berperan dalam kegiatan administrasi, pelaporan, dan pembelajaran klinik, serta wajib menjaga etika profesi, kerahasiaan pasien, dan keselamatan pasien sesuai standar rumah sakit. Dalam pelaksanaan tugasnya, ners magang tidak diperkenankan menjadi penanggung jawab ruangan atau pasien, menandatangani rekam medis secara mandiri, maupun melakukan tindakan invasif tanpa supervisi. Seluruh kegiatan magang dilaksanakan berdasarkan peraturan praktik keperawatan, standar pelayanan rumah sakit pendidikan, serta dalam pengawasan bidang keperawatan dan Komite Keperawatan.",100,19,Terverifikasi,Rumah Sakit Universitas Indonesia,JAWA BARAT,KOTA DEPOK,"JL PROF. DR BAHDER JOHAN, KAMPUS UI DEPOK",https://wlkp-assets.kemnaker.go.id/companies/c20c310d-c042-4d59-95b4-7cbe62f2ed66/6490075e8976a.png,,,2025-11-06 00:00:00,2025-11-14 23:59:59,2025-11-24 00:00:00,2026-05-23 23:59:59,"[{'id': '1b10c018-7e0a-4f55-9d0d-07ffdbc1b12b', 'title': 'Keperawatan'}]",['Sarjana'],0.19,,['validasi'],0.25918189730200175,False,0.0,1.0,0.8370776882181444,0.47108829656442963,2
a0480596-ab72-47d0-bbdb-53ef8303d58b,Data Analyst Internship,"Job Purpose

Posisi ini bertujuan untuk mendukung kegiatan analisis data dan pelaporan kinerja proyek melalui pengembangan dashboard, automasi perhitungan, serta penyajian insight yang akurat dan relevan. Kandidat akan berkontribusi dalam pengelolaan data yang efektif guna meningkatkan efisiensi proses bisnis dan pengambilan keputusan berbasis data.

Key Responsibilities:
- Mengembangkan dan mendesain dashboard pemantauan progres proyek menggunakan Power BI, Microsoft Excel, Copilot, atau Microsoft Fabric.
- Melakukan tracking dan analisis perkembangan proyek secara periodik untuk memastikan kesesuaian dengan target yang telah ditetapkan.
- Mengimplementasikan otomasi perhitungan dan pelaporan proyek guna meningkatkan efisiensi proses kerja.
- Melakukan data cleansing, data preparation, dan validasi data untuk menjaga integritas dan akurasi informasi.
- Menyusun visualisasi data yang informatif serta mudah dipahami untuk mendukung proses evaluasi dan pengambilan keputusan.
- Menyusun laporan analisis, insight, dan rekomendasi berbasis data untuk mendukung perbaikan berkelanjutan di tingkat departemen.
- Berkolaborasi dengan tim terkait dalam memastikan kebutuhan data dan informasi tersaji dengan tepat waktu dan relevan.

Qualifications:
- Mahasiswa aktif tingkat akhir atau lulusan baru dari jurusan Statistik, Matematika, Sistem Informasi, Teknik Industri, Ekonomi, atau bidang terkait lainnya.
- Memiliki pemahaman yang baik mengenai analisis data, pengolahan data, dan data visualization.
- Menguasai Microsoft Excel (advanced formula, pivot table) serta memiliki kemampuan menggunakan Power BI atau tools sejenis.
- Familiar dengan konsep data automation, Copilot, dan Microsoft Fabric menjadi nilai tambah.
- Memiliki kemampuan berpikir analitis, perhatian terhadap detail, dan orientasi terhadap hasil.
- Mampu bekerja secara kolaboratif dalam tim serta memiliki komunikasi yang baik.",10,92,Terverifikasi,Federal International Finance,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,"Menara FIF Lantai 3-9, Jalan TB. Simatupang Kav. 15",https://wlkp-assets.kemnaker.go.id/companies/e39385e6-3525-444d-9137-02f63a7ef99d/6603dc7702912.jpg,,,2025-11-06 00:00:00,2025-11-14 23:59:59,2025-11-24 00:00:00,2026-05-23 23:59:59,"[{'id': 'a86f123a-2b95-4d24-b49d-174d3a639d91', 'title': 'Statistika'}
 {'id': '7a0c2b71-07e5-4d32-ab28-a5f2c1f97a8c', 'title': 'Statistika dan Sains Data'}
 {'id': 'eb32519f-3ca3-4918-accb-d8102338300c', 'title': 'Matematika'}
 {'id': '8bdce5f1-553c-40b4-a5f5-9e5ff9387b60', 'title': 'Sistem Informasi'}
 {'id': '03b570a2-c678-4413-aa47-bfed8308fac5', 'title': 'Teknik Informatika'}]",['Sarjana'],9.2,,"['analisis data' 'dashboard' 'excel' 'insight' 'komunikasi' 'power bi'
 'statistik' 'validasi']",0.9258485639686684,True,0.0,0.33950289758926994,0.07963185274109645,0.4541663756535407,3
a046e31f-833e-4e1a-9516-dcd9b0b8fcd3,Magang  Jurusan IT,"Deskripsi Pekerjaan:
1. Membantu pengolahan dan manajemen data perusahaan; 
2. Mendukung pengembangan sistem, aplikasi, atau tools internal; 
3. Membuat dokumentasi teknis, laporan, dan administrasi; 
4. Terlibat dalam pemecahan masalah teknis untuk mendukung operasional perusahaan.

Kualifikasi:
1. Fresh graduate S1/setara IT, Sistem Informasi, Ilmu Komputer, atau bidang terkait; 
2. Memahami konsep dasar database, data management, dan/atau pemrograman; 
3. Terampil menggunakan tools analisis data (SQL, Excel, Power BI atau sejenisnya menjadi nilai tambah); 
4. Terampil menggunakan Microsoft Office (Excel, PowerPoint, Word); 
5. Detail oriented, problem solving, dan teamwork; 
6. Menguasai bahasa pemrograman C#, Computer Programming, JavaScript, dan Debugging;
7. Lokasi kerja di Jakarta.",6,118,Terverifikasi,Pertamina Hulu Energi,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,JL. TB. SIMATUPANG KAV. 99,https://wlkp-assets.kemnaker.go.id/companies/a0d4a7e7-033a-4576-aa47-4f16518ddec4/68d9fd0a7336d.png,,,2025-11-06 00:00:00,2025-11-14 23:59:59,2025-11-24 00:00:00,2026-05-23 23:59:59,"[{'id': '8bdce5f1-553c-40b4-a5f5-9e5ff9387b60', 'title': 'Sistem Informasi'}
 {'id': '90586281-900a-4cee-821e-3ad158837f1a', 'title': 'Teknik informatika'}
 {'id': '246e6e8a-413d-4dff-9d82-161b6222f8d0', 'title': 'Ilmu Komputer'}]",['Sarjana' 'Diploma'],19.6667,,['analisis data' 'excel' 'power bi' 'problem solving' 'sql' 'teamwork'],1.0,True,0.0,0.14488202537480036,0.02896634564348465,0.43476967420365703,4
a035f161-2818-47f5-96d0-5b57a5eade2e,AI Engineer,"Intern AI Engineer akan membantu AI Engineer dan Data Scientist senior dalam berbagai tugas yang meliputi:

- Persiapan Data: Membersihkan, memproses, dan mentransformasikan dataset dalam jumlah besar agar siap digunakan untuk pelatihan model.
- Pengembangan Model: Membantu dalam merancang, melatih, menyetel, dan mengevaluasi berbagai model machine learning (misalnya deep learning, NLP, computer vision, atau machine learning tradisional).
- Implementasi Kode: Menulis kode yang bersih, efisien, dan terdokumentasi dengan baik menggunakan Python untuk pipeline dan alat machine learning.
- Eksperimen: Melakukan eksperimen terkontrol untuk menguji hipotesis dan mengukur performa berbagai model dan algoritma. 
-Dukungan Deployment: Membantu proses penerapan (deployment) model yang telah dilatih ke lingkungan produksi serta memantau performanya.
- Riset: Mengikuti perkembangan terbaru dalam penelitian AI/ML dan merangkum temuan penting dari literatur terkait.
- Dokumentasi: Membuat dan memelihara dokumentasi teknis terkait model, pipeline, dan proses kerja.

Qualifications:
- Memiliki dasar pengetahuan yang kuat dalam matematika dan statistik yang relevan dengan machine learning.
- Terbukti memiliki kemampuan pemrograman dalam Python serta familiar dengan pustaka AI/ML utama (seperti PyTorch, TensorFlow, Scikit-learn, Pandas, NumPy).
- Memahami konsep dasar machine learning (misalnya supervised vs. unsupervised learning, metrik evaluasi model, overfitting).
- Memiliki kemampuan pemecahan masalah yang baik dan perhatian tinggi terhadap detail.
- Mampu berkomunikasi dengan baik, baik secara tertulis maupun lisan.
- Dapat bekerja secara mandiri maupun kolaboratif dalam tim.

Disukai apabila memiliki skill:
- Familiar dengan platform cloud (seperti AWS, Azure, GCP) dan alat MLOps (seperti Docker, Kubernetes).
- Memiliki pengalaman dengan database SQL atau NoSQL.
- Pernah terlibat dalam bidang AI tertentu (misalnya NLP, Computer Vision).
- Memiliki proyek pribadi, pengalaman hackathon, atau coursework yang menunjukkan penerapan praktis machine learning",17,67,Terverifikasi,PT Informasi Teknologi Indonesia Tbk,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,"Gedung Graha Orange Lantai 3A, Jl. Mampang Prapatan Raya No. 3",https://wlkp-assets.kemnaker.go.id/companies/1090cbda-d921-4648-be65-505258c6f211/5f44945d12f8e.png,,,2025-11-06 00:00:00,2025-11-14 23:59:59,2025-11-24 00:00:00,2026-05-23 23:59:59,"[{'id': '8bdce5f1-553c-40b4-a5f5-9e5ff9387b60', 'title': 'Sistem Informasi'}
 {'id': '03b570a2-c678-4413-aa47-bfed8308fac5', 'title': 'Teknik Informatika'}
 {'id': '246e6e8a-413d-4dff-9d82-161b6222f8d0', 'title': 'Ilmu Komputer'}
 {'id': '472b7351-ef6b-41e7-b27c-07ab64f2ed16', 'title': 'Pendidikan Ilmu Komputer'}
 {'id': 'eda4f4a9-ce6c-48e6-858f-4e32f84af40e', 'title': 'Teknik Telekomunikasi'}]",['Sarjana' 'Diploma'],3.9412,,['numpy' 'pandas' 'python' 'sql' 'statistik'],0.7037423846823324,True,0.0,0.5515589986421336,0.18610202925175576,0.4290291594517109,5
a04853a1-cccb-48d3-ae76-b3bf773d3690,Staff Commercial & Marketing,"Kualifikasi:
Memiliki ketertarikan dan pengetahuan dasar di bidang pemasaran dan bisnis komersial.
Mampu menggunakan Microsoft Office (Word, Excel, PowerPoint) dan memiliki kemampuan presentasi yang baik.
Memiliki kemampuan komunikasi dan interpersonal yang kuat.
Mampu bekerja dengan target dan berorientasi pada hasil.
Memiliki kemampuan Bahasa Inggris aktif (lisan maupun tulisan) menjadi nilai tambah.
Kreatif, inisiatif, dan memiliki kemampuan berpikir analitis terhadap tren pasar.
Mampu bekerja secara individu maupun dalam tim.
Familiar dengan media sosial, digital marketing, dan tools promosi online merupakan nilai tambah.

Tugas dan tanggung jawab:
Membantu kegiatan pemasaran dan promosi produk atau layanan perusahaan (baik secara digital maupun konvensional).
Mendukung proses penyusunan materi promosi dan presentasi komersial, termasuk brosur, flyer, dan konten media sosial.
Membantu pengumpulan dan analisis data pelanggan serta potensi pasar.
Membantu monitoring kegiatan promosi dan kampanye pemasaran yang sedang berjalan.
Membantu penyusunan laporan hasil promosi, kegiatan marketing event, dan performance kampanye.
Membantu tim komersial dalam pembuatan quotation, proposal bisnis, atau dokumen penawaran.
Mendukung kegiatan customer engagement seperti event, survei kepuasan, atau follow-up pelanggan.
Menyusun dan memperbarui database pelanggan (customer list, kontak, segmentasi pasar).",8,33,Terverifikasi,PT. Integrasi Aviasi Solusi,BANTEN,KOTA TANGERANG,"Komplek Gedung 528 Terminal Kargo Bandara Soekarno Hatta, Tangerang Banten 19120",https://wlkp-assets.kemnaker.go.id/companies/28ba2b06-e45e-40a1-8f5f-8b5b7dfde81e/66221ae72e8b9.png,,,2025-11-06 00:00:00,2025-11-14 23:59:59,2025-11-24 00:00:00,2026-05-23 23:59:59,"[{'id': 'e3668d6d-acab-4f65-8d20-262e73fe8f36', 'title': 'Manajemen Pemasaran'}
 {'id': '2f6440b7-d057-40e7-bce1-9a4cf73f441d', 'title': 'Manajemen'}
 {'id': '9d46d840-695e-4ecf-915c-ef58ebc36d9b', 'title': 'Administrasi Bisnis'}
 {'id': 'b16054f8-8d35-4fdf-af76-94724b15b73f', 'title': 'Manajemen Bisnis'}]",['Diploma' 'Sarjana'],4.125,,['analisis data' 'excel' 'komunikasi' 'presentasi' 'segmentasi'],0.8518711923411663,True,0.0,0.2530958374291888,0.17869586859133899,0.4271068181405721,6
a0489944-3e8e-4bc5-b778-3075ccb526e6,Sales,"- Mencapai target penjualan bulanan dan tahunan sesuai KPI perusahaan
- Melakukan canvassing dan kunjungan pelanggan secara rutin
- Membangun dan menjaga hubungan baik dengan pelanggan baru maupun lama
- Mengelola proses penawaran, negosiasi, dan closing penjualan
- Memantau status pengiriman dan stok barang untuk memastikan kepuasan pelanggan
- Memberikan laporan penjualan dan aktivitas harian/mingguan kepada atasan
- Mengidentifikasi peluang pasar baru dan memberikan masukan strategis ke tim marketing
- Menangani keluhan pelanggan dan berkoordinasi dengan tim operasional/logistik",40,41,Terverifikasi,Livia Mandiri Sejati,JAWA TIMUR,KOTA PASURUAN,JL. HALMAHERA NOMOR 90,https://wlkp-assets.kemnaker.go.id/companies/34f797c4-2c00-4879-aecb-2b9194731e91/64fe9eaf7fb11.jpg,,,2025-11-06 00:00:00,2025-11-14 23:59:59,2025-11-24 00:00:00,2026-05-23 23:59:59,"[{'id': 'e12302ac-c8dc-4d0a-90a7-402f6fafd27e', 'title': 'Manajemen Pemasaran/Marketing'}
 {'id': '9d46d840-695e-4ecf-915c-ef58ebc36d9b', 'title': 'Administrasi Bisnis'}
 {'id': '9808ccda-82eb-47cd-a2e5-78d6baf95192', 'title': 'Pemasaran Digital'}
 {'id': '112d50ec-5feb-4a3f-828e-f024b4d0438d', 'title': 'Akuntansi Manajemen'}]",['Sarjana' 'Diploma'],1.025,,['kpi'],0.3704090513489991,False,0.0,0.9060219083518307,0.4834971025447216,0.42606742271891007,7
a0527e59-4b3b-4c6b-a1cc-e920c4c76bd2,Control Tower,"1. Memantau dan mengontrol aktivitas operasional pengiriman barang secara real-time melalui sistem (tracking system).
2. Mengkoordinasikan jadwal pengiriman dengan tim lapangan, sopir, vendor, dan pelanggan.
3. Menangani kendala operasional di lapangan (seperti keterlambatan, kerusakan barang, atau perubahan rute) secara cepat dan akurat.
4. Memastikan setiap pengiriman sesuai SOP, tepat waktu, dan dalam kondisi baik.
5. Menginput dan memperbarui data pengiriman ke dalam sistem control tower atau dashboard monitoring.
6. Menyusun laporan harian/mingguan/bulanan mengenai performa pengiriman, status armada, dan KPI operasional.",7,6,Terverifikasi,PT Satria Antaran Prima Tbk,DKI JAKARTA,KOTA ADM. JAKARTA TIMUR,Jl Komodor Udara No 28 Halim Perdana Kusuma Jakarta Timur 13650,https://wlkp-assets.kemnaker.go.id/companies/f18e9a6a-c5bf-474c-a83c-20691284950c/5eb8b87ac5338.png,,,2025-11-06 00:00:00,2025-11-14 23:59:59,2025-11-24 00:00:00,2026-05-23 23:59:59,"[{'id': 'f143ceae-2c51-40f5-aa92-831c8564b258', 'title': 'Manajemen Logistik'}
 {'id': '2fee5a6d-a685-4a85-911b-5aa7e4980851', 'title': 'Teknik Industri'}
 {'id': '0c353635-be19-41e3-abef-287c8fd73d32', 'title': 'Teknologi Informasi'}]",['Sarjana'],0.8571,,['dashboard' 'kpi'],0.6666666666666666,False,0.0,0.202379484329602,0.5290550661059211,0.4129535767537713,8
a052deb4-96b5-432b-a0ba-089505398996,Pengelola Layanan Operasional,"""A. Tugas Unit Pengelola Praktik Kerja di Lembaga Pendidikan:
1. Administrasi: Mengelola administrasi terkait kegiatan praktik kerja, termasuk penjadwalan, pendataan, dan pengarsipan.
2. Koordinasi: Menyelaraskan program pendidikan dengan kebutuhan dunia kerja dan menjalin kerja sama dengan industri potensial.
3. Monitoring dan Evaluasi: Memantau pelaksanaan praktik kerja mahasiswa dan mengevaluasi hasilnya untuk memastikan pencapaian tujuan pembelajaran. 
B. Tugas Unit Ketarunaan/Kemahasiswaan
1. Administrasi dan Pelayanan: Mengelola administrasi dan memberikan layanan terkait kegiatan mahasiswa, data alumni, dan proses registrasi.
2. Pengembangan Minat dan Bakat: Merencanakan dan melaksanakan program untuk meningkatkan prestasi dan potensi mahasiswa di bidang minat dan bakat (misalnya, olahraga, seni, kepemimpinan).
3. Fasilitasi Organisasi Mahasiswa: Memfasilitasi dan mengawasi kegiatan organisasi mahasiswa (BEM, DPM, UKM, dll.) serta menyediakan sarana dan prasarana pendukungnya.
4. Pengembangan Karakter: Melaksanakan program pembinaan mental, kepribadian, dan kepemimpinan untuk membentuk karakter mahasiswa yang berintegritas.
5. Penyaluran Aspirasi: Menjadi perantara antara mahasiswa dan pihak universitas dalam menyuarakan kepentingan dan aspirasi mahasiswa. 
C. Tugas Unit Divisi Pengembangan Usaha
1. Identifikasi Peluang: Mencari dan mengidentifikasi peluang bisnis atau investasi baru yang potensial.
2. Perancangan Strategi: Mengembangkan strategi dan rencana bisnis untuk pertumbuhan usaha, termasuk merancang produk atau layanan baru.
3. Pengembangan Kemitraan: Membangun dan memelihara hubungan baik dengan calon mitra, investor, atau saluran distribusi (reseller, distributor) untuk membuka peluang di masa mendatang.
4. Pengelolaan Aset: Mengelola dan mendayagunakan aset perusahaan atau institusi berdasarkan analisis usaha.
5. Dukungan Kewirausahaan: Di lingkungan pendidikan, divisi ini dapat membuat program pelatihan kewirausahaan dan memberikan dukungan seperti pameran atau koneksi bisnis untuk menumbuhkan jiwa wirausaha di kalangan sivitas akademika.
6. Analisis Data: Menganalisis data pasar dan kinerja usaha untuk membuat rekomendasi dan mengambil keputusan teknis. """,9,0,Terverifikasi,STIP Jakarta,DKI JAKARTA,KOTA ADM. JAKARTA UTARA,"Jl. Marunda Makmur, Kelurahan Marunda Kecamatan Cilincing",https://maganghub.kemnaker.go.id/be/v1/storage/uploads/logo/2025/11/KZ5CzzLz9FWpDlHEIBwoDXkzTQnnc2ph8U6gNdac.png,,,2025-11-06 00:00:00,2025-11-14 23:59:59,2025-11-24 00:00:00,2026-05-23 23:59:59,"[{'id': '5a313f3d-705d-4c76-b878-8dd4b0b0dc40', 'title': 'Nautika'}
 {'id': '2c019b50-943b-44d2-b6e3-167c77a71302', 'title': 'Teknika'}
 {'id': 'e01945d9-cac8-4777-8716-1f702f8251db', 'title': 'Ketatalaksanaan Angkutan Laut dan Kepelabuhanan'}]",['Diploma'],0.0,,['analisis data'],0.3704090513489991,True,0.0,0.2984631612129452,1.0,0.4078562527821887,9
a04670ee-7b53-46b4-9523-4f0034819f73,IT Programmer,"Ringkasan:
IT Programmer bertanggung jawab untuk mengembangkan, memelihara, dan meningkatkan aplikasi atau sistem informasi yang digunakan oleh organisasi. Posisi ini memastikan sistem berjalan optimal sesuai kebutuhan pengguna dan mendukung efisiensi proses kerja melalui solusi berbasis teknologi.

Tugas dan Tanggung Jawab:

Merancang, mengembangkan, dan memodifikasi aplikasi atau sistem informasi sesuai kebutuhan pengguna.

Melakukan pengujian (testing) dan debugging untuk memastikan aplikasi berjalan tanpa error.

Memelihara serta memperbarui sistem agar tetap aman, stabil, dan sesuai perkembangan kebutuhan.

Menulis dokumentasi teknis dan panduan penggunaan aplikasi.

Berkoordinasi dengan tim IT lain untuk integrasi sistem dan pengelolaan database.

Membantu analisis kebutuhan sistem dari unit kerja atau pengguna.

Mengelola versi kode sumber (source code) dan repository proyek.

Mendukung implementasi sistem baru dan memberikan pelatihan dasar kepada pengguna.

Menjaga keamanan data dan memastikan praktik pemrograman sesuai standar keamanan informasi.

Kualifikasi Umum:

Menguasai bahasa pemrograman seperti PHP, Python, JavaScript, atau lainnya sesuai kebutuhan organisasi.

Memahami konsep database (MySQL, PostgreSQL, atau setara).

Mampu bekerja dengan framework modern (Laravel, Node.js, atau sejenisnya).

Memahami dasar manajemen proyek pengembangan perangkat lunak.

Teliti, mampu bekerja mandiri maupun dalam tim, dan berorientasi pada hasil.",10,13,Terverifikasi,Universitas Muhammadiyah Gorontalo,GORONTALO,KAB. GORONTALO,Jl. Prof. Dr. Mansoer Pateda,https://wlkp-assets.kemnaker.go.id/companies/20af39b6-a038-47aa-ae37-dd404c3f4a26/66542aa67c3ba.png,,,2025-11-06 00:00:00,2025-11-14 23:59:59,2025-11-24 00:00:00,2026-05-23 23:59:59,"[{'id': '8bdce5f1-553c-40b4-a5f5-9e5ff9387b60', 'title': 'Sistem Informasi'}
 {'id': '246e6e8a-413d-4dff-9d82-161b6222f8d0', 'title': 'Ilmu Komputer'}
 {'id': '0b074455-5cb4-45c4-8111-1a9e3b6de1c0', 'title': 'Informatika'}
 {'id': 'e88dfb41-4b94-4de1-a44f-44c6519abf33', 'title': 'Pendidikan Teknologi Informasi'}
 {'id': 'ea498c86-2eeb-4dc2-8844-f546e73a4aee', 'title': 'Teknik Komputer'}]",['Diploma' 'Sarjana'],1.3,,['mysql' 'postgresql' 'python'],0.6295909486510008,True,0.0,0.33950289758926994,0.42324755989352264,0.40438647095695884,10
